,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
基金,0.02267089098380492,5.906998631751279e-05,2.6615088118328195e-05,5.5766143157773065e-06,2.4766216722541866e-05,2.531469328084754e-07,0.000109716959963464,1.4302159977437716e-05,1.993382965246863e-05,2.372843962033487e-05
公司,0.004650991147716813,0.0004804688426830329,0.0008462105586780609,5.9314897722358624e-05,0.00022142469010351788,6.126155773965104e-05,0.0001666806186352399,6.097236621960289e-05,0.0002725951204975085,0.0005692301206793099
市场,0.003966625276685597,0.0013875267915753843,0.00014327374538464522,4.309201971282464e-05,0.00010200738768888531,0.0005602141623051559,0.0003147861311818572,0.00011441727981950173,0.0001846370971559907,0.00026328470770222627
经理,0.0019662803733188623,3.484882037978788e-05,7.710913380076392e-05,4.309201971282464e-06,1.8145544925426715e-05,7.08811411863731e-06,7.925378597812298e-06,2.509150873234687e-05,9.966914826234315e-06,2.7010032333785437e-05
型基金,0.0017618931930316272,7.414642633997421e-07,2.487391412927869e-07,2.534824688989685e-07,2.697310732158025e-06,2.531469328084754e-07,4.953361623632686e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
指数,0.002311183740053571,5.140818892904879e-05,2.2386522716350816e-06,6.565195944483284e-05,1.0053612728952639e-05,4.303497857744081e-06,1.3869412546171523e-05,8.280197881674466e-06,3.662841198641111e-05,2.3223579202880937e-05
股票,0.0022586675895631013,4.6465093839717175e-05,9.203348227833115e-06,1.013929875595874e-06,3.4329409318374866e-06,1.7720285296593275e-06,9.906723247265373e-06,1.2545754366173435e-06,1.7442100945910051e-06,2.297114899415397e-05
A股,0.0007513121349447433,1.9030916093926716e-05,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,1.4860084870898058e-06,1.2545754366173435e-06,4.983457413117157e-07,2.5243020872696667e-07
净值,0.0013367962451425518,2.2243927901992265e-06,2.487391412927869e-07,2.534824688989685e-07,2.206890599038384e-06,2.531469328084754e-07,2.229012730634709e-06,2.509150873234687e-07,2.4917287065585786e-07,2.0194416698157333e-06
仓位,0.0013365596859061081,3.954476071465291e-06,2.487391412927869e-07,2.534824688989685e-07,2.4521006655982047e-07,2.531469328084754e-07,2.476680811816343e-07,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
收益,0.0014614629627483073,4.720655810311692e-05,6.218478532319671e-06,5.06964937797937e-07,1.029882279551246e-05,2.531469328084754e-07,1.6841429520351134e-05,6.297968691819064e-05,1.1461952050169462e-05,2.2718718785427003e-05
投资者,0.0016578071289964614,0.00010158060408576467,6.964695956198032e-06,2.534824688989685e-07,1.9371595258225816e-05,2.531469328084754e-07,1.2135735977900082e-05,1.2545754366173435e-06,3.4884201891820102e-06,2.524302087269667e-06
业绩,0.0014425382238328227,4.943095089331615e-05,4.477304543270163e-06,3.0417896267876217e-06,3.4329409318374866e-06,3.0377631937017043e-06,1.6346093357987864e-05,1.7564056112642808e-06,3.7375930598378684e-06,4.291313548358433e-06
产品,0.0014990758813428332,0.0004935680446697617,4.7260436845629506e-05,0.00014372455986571512,2.5011426789101688e-05,0.0010330926327913879,0.00016866196328469297,1.5054905239408122e-05,0.00019435483911156914,4.114612402249557e-05
行业,0.0013528822732207138,0.0002491319925023134,4.7011697704336716e-05,2.7376106641088596e-05,0.00011671999168247455,1.9745460759061078e-05,0.00013819878929935195,8.782028056321404e-06,9.393817223725843e-05,3.761210110031804e-05
专户,0.0007844304280468416,9.886190178663229e-07,4.974782825855738e-07,5.06964937797937e-07,2.4521006655982047e-07,2.531469328084754e-07,2.7243488929979774e-06,2.509150873234687e-07,2.4917287065585786e-07,2.5243020872696667e-07
债券,0.0010560004314840474,8.650416406330326e-06,1.4924348477567212e-06,2.534824688989685e-07,6.865881863674973e-06,2.531469328084754e-07,8.668382841357202e-06,1.505490523940812e-06,2.4917287065585786e-07,4.5437437570854e-06
资产,0.001179484352907585,9.416596145176726e-05,1.6914261607909507e-05,5.06964937797937e-07,2.7708737521259714e-05,2.531469328084754e-07,5.547765018468609e-05,4.014641397175499e-06,3.986765930493726e-06,7.320476053082034e-06
记者,0.0012461940575846688,0.000505184318129691,0.0029249235624618807,7.249598610510499e-05,0.0011041809297188715,8.860142648296638e-06,0.0010142007924387926,0.0005851339836383289,5.4319685802977015e-05,0.0007560284751372652
规模,0.00108675313222171,0.0001384066625012852,1.1442000499468195e-05,2.5348246889896848e-06,6.47354575717926e-05,4.8097917233610315e-06,0.00010674494298928439,9.53477331829181e-06,3.6130066245099394e-05,2.600031149887757e-05
