,precision,recall,f1-score,support
0,0.97398091934085,0.8984,0.9346650020807326,5000.0
1,0.9691499085923218,0.8482,0.9046501706484641,5000.0
2,0.8891153689359967,0.8724,0.8806783767413688,5000.0
3,0.9752083778585168,0.9126,0.9428659985535697,5000.0
4,0.9316073354908306,0.8636,0.8963155163466527,5000.0
5,0.6092421441774492,0.9888,0.7539458635150592,5000.0
6,0.9284753363228699,0.8282,0.8754756871035941,5000.0
7,0.9913774973711882,0.9428,0.9664787288569964,5000.0
8,0.9915219189412737,0.959,0.9749898332655551,5000.0
9,0.9195849546044098,0.8508,0.883856222730106,5000.0
accuracy,0.89648,0.89648,0.89648,0.89648
avg,0.9179263761635708,0.89648,0.9013921399842101,5000.0
