,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
Economics,4492.0,3.0,3.0,0.0,4.0,488.0,9.0,0.0,0.0,1.0
House,57.0,4241.0,43.0,0.0,9.0,530.0,104.0,1.0,1.0,14.0
Society,6.0,31.0,4362.0,26.0,145.0,269.0,81.0,8.0,3.0,69.0
Fashion,0.0,6.0,39.0,4563.0,24.0,171.0,18.0,6.0,5.0,168.0
Education,7.0,22.0,65.0,9.0,4318.0,482.0,54.0,4.0,6.0,33.0
Technology,0.0,9.0,2.0,4.0,8.0,4944.0,5.0,3.0,16.0,9.0
Politics,38.0,45.0,186.0,9.0,100.0,452.0,4141.0,3.0,1.0,25.0
PE,1.0,1.0,35.0,4.0,8.0,192.0,15.0,4714.0,0.0,30.0
Game,6.0,3.0,12.0,3.0,8.0,137.0,8.0,5.0,4795.0,23.0
Entertainment,5.0,15.0,159.0,61.0,11.0,450.0,25.0,11.0,9.0,4254.0
