,precision,recall,f1-score,support
0,0.936711356466877,0.9502,0.9434074662430502,5000.0
1,0.9140440597954367,0.9294,0.921658072193574,5000.0
2,0.7727900552486188,0.8952,0.8295033358042995,5000.0
3,0.8337106918238993,0.6628,0.7384958217270194,5000.0
4,0.7497331910352187,0.562,0.6424325560128029,5000.0
5,0.800133133632884,0.9616,0.8734671632300844,5000.0
6,0.7243496526094684,0.8966,0.8013227276789705,5000.0
7,0.9922669922669922,0.9752,0.9836594714545087,5000.0
8,0.9277131413312989,0.9728,0.9497217612027727,5000.0
9,0.9662808253648717,0.768,0.8558056607978606,5000.0
accuracy,0.85738,0.85738,0.85738,0.85738
macro avg,0.8617733099575565,0.85738,0.8539474036344943,50000.0
weighted avg,0.8617733099575566,0.85738,0.8539474036344944,50000.0
