,precision,recall,f1-score,support
0,0.9352647352647353,0.9362,0.9357321339330334,5000.0
1,0.8269757254973535,0.9062,0.8647771733944078,5000.0
2,0.794917362715479,0.8946,0.8418180107273925,5000.0
3,0.7677602076941232,0.6506,0.7043412363321425,5000.0
4,0.762083646381167,0.6086,0.6767485822306238,5000.0
5,0.8120851063829787,0.9542,0.8774252873563219,5000.0
6,0.6950217496375061,0.8628,0.7698759703756581,5000.0
7,0.9950718685831622,0.9692,0.981965552178318,5000.0
8,0.9646321746160065,0.9546,0.959589867310012,5000.0
9,0.9659483905293961,0.7262,0.829090078776116,5000.0
accuracy,0.84632,0.84632,0.84632,0.84632
macro avg,0.8519760967301908,0.8463200000000001,0.8441363892614024,50000.0
weighted avg,0.8519760967301908,0.84632,0.8441363892614027,50000.0
