,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
基金,95835.0,238.0,106.0,21.0,100.0,0.0,442.0,56.0,79.0,93.0
公司,19660.0,1943.0,3401.0,233.0,902.0,241.0,672.0,242.0,1093.0,2254.0
市场,16767.0,5613.0,575.0,169.0,415.0,2212.0,1270.0,455.0,740.0,1042.0
经理,8311.0,140.0,309.0,16.0,73.0,27.0,31.0,99.0,39.0,106.0
型基金,7447.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0
指数,9769.0,207.0,8.0,258.0,40.0,16.0,55.0,32.0,146.0,91.0
股票,9547.0,187.0,36.0,3.0,13.0,6.0,39.0,4.0,6.0,90.0
A股,3175.0,76.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0
净值,5650.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,7.0
仓位,5649.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收益,6177.0,190.0,24.0,1.0,41.0,0.0,67.0,250.0,45.0,89.0
投资者,7007.0,410.0,27.0,0.0,78.0,0.0,48.0,4.0,13.0,9.0
业绩,6097.0,199.0,17.0,11.0,13.0,11.0,65.0,6.0,14.0,16.0
产品,6336.0,1996.0,189.0,566.0,101.0,4080.0,680.0,59.0,779.0,162.0
行业,5718.0,1007.0,188.0,107.0,475.0,77.0,557.0,34.0,376.0,148.0
专户,3315.0,3.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0
债券,4463.0,34.0,5.0,0.0,27.0,0.0,34.0,5.0,0.0,17.0
资产,4985.0,380.0,67.0,1.0,112.0,0.0,223.0,15.0,15.0,28.0
记者,5267.0,2043.0,11758.0,285.0,4502.0,34.0,4094.0,2331.0,217.0,2994.0
规模,4593.0,559.0,45.0,9.0,263.0,18.0,430.0,37.0,144.0,102.0
份额,3238.0,21.0,9.0,0.0,13.0,14.0,20.0,25.0,10.0,17.0
涨幅,4036.0,484.0,2.0,0.0,8.0,6.0,75.0,19.0,0.0,1.0
旗下,3067.0,837.0,9.0,19.0,9.0,185.0,14.0,39.0,597.0,132.0
证券,3861.0,94.0,12.0,1.0,14.0,1.0,62.0,0.0,1.0,4.0
数据,3436.0,766.0,104.0,65.0,379.0,409.0,375.0,1634.0,254.0,186.0
策略,2810.0,142.0,14.0,35.0,91.0,9.0,79.0,135.0,247.0,30.0
资金,3603.0,1057.0,265.0,7.0,341.0,4.0,1100.0,52.0,112.0,98.0
机构,3394.0,580.0,166.0,69.0,1080.0,58.0,1301.0,26.0,115.0,73.0
银行,3355.0,1070.0,1086.0,14.0,341.0,7.0,336.0,127.0,23.0,89.0
风险,3102.0,488.0,80.0,297.0,194.0,5.0,388.0,112.0,37.0,52.0
大盘,2870.0,253.0,6.0,25.0,4.0,1.0,0.0,6.0,24.0,47.0
经济,4045.0,2179.0,446.0,81.0,1275.0,22.0,5772.0,138.0,58.0,154.0
比例,2677.0,479.0,75.0,331.0,754.0,196.0,503.0,109.0,115.0,88.0
人士,2769.0,711.0,268.0,124.0,281.0,36.0,625.0,282.0,69.0,206.0
封闭式,1833.0,5.0,1.0,2.0,3.0,1.0,0.0,3.0,7.0,0.0
月份,2838.0,1158.0,312.0,34.0,320.0,74.0,264.0,185.0,78.0,168.0
收益率,2149.0,40.0,1.0,0.0,12.0,0.0,7.0,0.0,1.0,1.0
股市,2539.0,238.0,37.0,2.0,5.0,2.0,26.0,4.0,11.0,61.0
业务,2605.0,216.0,290.0,11.0,174.0,17.0,339.0,18.0,147.0,33.0
交易,2488.0,458.0,171.0,8.0,38.0,0.0,173.0,2020.0,335.0,108.0
行情,2275.0,98.0,12.0,1.0,5.0,1597.0,6.0,13.0,6.0,11.0
优势,2071.0,685.0,40.0,87.0,456.0,452.0,325.0,1325.0,218.0,128.0
价值,2231.0,1223.0,351.0,89.0,152.0,44.0,143.0,461.0,467.0,205.0
机会,2159.0,332.0,378.0,320.0,1117.0,115.0,308.0,2470.0,1155.0,713.0
情况,2694.0,1288.0,2169.0,935.0,5277.0,289.0,3231.0,1764.0,499.0,534.0
